Brand,Item Type,Gender,Price
Dove,Body Wash,F,9.49
Dove,Body Wash,M,9.49
Dove,Body Wash,F,8.99
Dove,Body Wash,M,8.99
Nivea,Body Wash,F,4.0
Nivea,Body Wash,M,4.0
Suave,Body Wash,F,2.77
Suave,Body Wash,M,2.77
CVS,Deodorant,F,7.99
CVS,Deodorant,M,7.99
Degree,Deodorant,F,3.99
Degree,Deodorant,M,3.79
Dove,Deodorant,F,4.99
Dove,Deodorant,M,5.29
Suave,Hair Care,F,7.98
Suave,Hair Care,M,2.67
TIGI,Hair Care,F,18.99
TIGI,Hair Care,M,14.2
Neutrogena,Lotion,F,15.99
Neutrogena,Lotion,M,10.28
Nivea,Lotion,F,6.49
Nivea,Lotion,M,6.49
CVS,Razor,F,5.29
CVS,Razor,M,4.99
Gillette,Razor,F,13.79
Gillette,Razor,M,9.99
Schick,Razor,F,9.99
Schick,Razor,M,10.99
CVS,Razor Cartridges,F,10.99
CVS,Razor Cartridges,M,9.99
Schick,Razor Cartridges,F,14.99
Schick,Razor Cartridges,M,13.79
CVS,Shaving Cream,F,2.49
CVS,Shaving Cream,M,2.49
Edge,Shaving Cream,M,3.49
Gillette,Shaving Cream,F,3.29
Gillette,Shaving Cream,M,4.59
Skintimate,Shaving Cream,F,3.79
Dial,Lotion,F,6.79
Dial,Lotion,M,6.79
Vaseline,Lotion,F,4.19
Vaseline,Lotion,M,4.19
BIC,Razor,F,3.99
BIC,Razor,M,3.99
Gillette,Razor,F,13.99
Gillette,Razor,M,13.79
Schick,Razor,F,10.49
Schick,Razor,M,9.99
Edge,Shaving Cream,M,3.29
Gillette,Shaving Cream,F,3.49
Gillette,Shaving Cream,M,2.89
Skintimate,Shaving Cream,F,3.29
Rite Aid,Shaving Cream,F,2.59
Rite Aid,Shaving Cream,M,2.59
Skintimate,Shaving Cream,F,3.49
Sigvaris,Compression Socks,F,27.96
Sigvaris,Compression Socks,M,27.96
